sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
4788,INE403F01017,Y,THAKDEV,526654,THAKDEV,Thakkers Developers Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4789,INE04VT01017,Y,,507530,THAKKERS,THAKKERS GROUP LIMITED,BSE only,BSE Equity,,X,Active
4790,INE190F01028,Y,,509015,THAKRAL,Thakral Services (India) Limited,BSE only,BSE Equity,,X,Active
4791,INE085J01014,Y,THANGAMAYL,533158,THANGAMAYL,Thangamayil Jewellery Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4792,INE924D01017,Y,THEINVEST,530023,THEINVEST,The Investment Trust Of India Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4793,INE121N01019,Y,THEJO,,,Thejo Engineering Limited,NSE only,NSE Mainboard,EQ,,
4794,INE0AQ201015,Y,THELEELA,544408,THELEELA,Leela Palaces Hotels & Resorts Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4795,INE083B01024,Y,THEMISMED,530199,THEMISMED,Themis Medicare Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4796,INE152A01029,Y,THERMAX,500411,THERMAX,Thermax Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4797,INE0SHE01019,Y,THESL,,,Thinking Hats Entertainment Solutions Limited,NSE only,NSE SME (Emerge),ST,,
4798,INE365S01045,Y,,539310,THINKINK,THINKINK PICTUREZ LIMITED,BSE only,BSE Equity,,X,Active
4799,INE332A01027,Y,THOMASCOOK,500413,THOMASCOOK,Thomas Cook  (India)  Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4800,INE480M01011,Y,THOMASCOTT,533941,THOMASCOTT,Thomas Scott (India) Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4801,INE0UK501010,Y,,544214,THREEMPAPE,THREE M PAPER BOARDS LIMITED,BSE only,BSE Equity,,M,Active
4802,INE628D01014,Y,,523120,THRIVE,THRIVE FUTURE HABITATS LIMITED,BSE only,BSE Equity,,X,Active
4803,INE594H01019,Y,THYROCARE,539871,THYROCARE,Thyrocare Technologies Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4804,INE133E01013,Y,TI,507205,TI,Tilaknagar Industries Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4805,INE388G01026,Y,TICL,532738,TICL,Twamev Construction and Infrastructure Limited,NSE+BSE,NSE Mainboard,BE,T,Active
4806,INE05CY01014,Y,,543531,TIERRA,Tierra Agrotech Limited,BSE only,BSE Equity,,X,Active
4807,INE906O01029,Y,TIGERLOGS,536264,TIGERLOGS,Tiger Logistics (India) Limited,NSE+BSE,NSE Mainboard,BE,T,Active
4808,INE811B01010,Y,,522294,TIGLOB,T & I Global Ltd.,BSE only,BSE Equity,,X,Active
4809,INE502D01011,Y,,523752,TIHIL,TRANS INDIA HOUSE IMPEX LIMITED,BSE only,BSE Equity,,XT,Active
