sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
1,INE609B01018,Y,,511122,1STCUS,First Custodian Fund (India) Ltd.,BSE only,BSE Equity,,X,Active
2,INE144J01027,Y,20MICRONS,533022,20MICRONS,20 Microns Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
3,INE253B01015,Y,21STCENMGM,526921,21STCENMGM,21st Century Management Services Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4,INE466L01038,Y,360ONE,542772,360ONE,360 ONE WAM LIMITED,NSE+BSE,NSE Mainboard,EQ,A,Active
5,INE994E01018,Y,3BBLACKBIO,532067,3BBLACKBIO,3B Blackbio Dx Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
6,INE0TE101010,Y,,544412,3BFILMS,3B FILMS LIMITED,BSE only,BSE Equity,,M,Active
7,INE0R7D01018,Y,,544190,3CIT,3C IT Solutions and Telecoms (India) Limited,BSE only,BSE Equity,,M,Active
8,INE748C01038,Y,3IINFOLTD,532628,3IINFOLTD,3i Infotech Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
9,INE470A01017,Y,3MINDIA,523395,3MINDIA,3M India Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
10,INE105C01023,Y,3PLAND,516092,3PLAND,3P Land Holdings Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
11,INE618L01018,Y,5PAISA,540776,5PAISA,5Paisa Capital Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
12,INE111B01023,Y,63MOONS,526881,63MOONS,63 moons technologies limited,NSE+BSE,NSE Mainboard,EQ,A,Active
13,INE413X01035,Y,,540615,7NR,7NR Retail Limited,BSE only,BSE Equity,,XT,Active
14,INE454F01010,Y,,540874,7SEASL,7SEAS ENTERTAINMENT LIMITED,BSE only,BSE Equity,,X,Active
15,INE856B01023,Y,,532404,7TEC,Saven Technologies Ltd.,BSE only,BSE Equity,,X,Active
16,INE911Z01025,Y,,542012,A1L,A-1 LIMITED,BSE only,BSE Equity,,B,Active
17,INE619I01012,Y,A2ZINFRA,533292,A2ZINFRA,A2Z Infra Engineering Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
18,INE0D0U01013,Y,AAATECH,543671,AAATECH,AAA Technologies Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
19,INE883F01010,Y,AADHARHFC,544176,AADHARHFC,Aadhar Housing Finance Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
20,INE563D01013,Y,,530027,AADIIND,Aadi Industries Ltd,BSE only,BSE Equity,,X,Active
21,INE864E01021,Y,,530621,AAIL,Akar Auto Industries Limited,BSE only,BSE Equity,,XT,Active
22,INE1GYP01013,Y,AAKAAR,,,Aakaar Medical Technologies Limited,NSE only,NSE SME (Emerge),SM,,
23,INE087Z01024,Y,AAKASH,,,Aakash Exploration Services Limited,NSE only,NSE Mainboard,EQ,,
24,INE322R01022,Y,,538812,AANCHALISP,Aanchal Ispat Limited,BSE only,BSE Equity,,XT,Active
25,INE0C5901022,Y,,543319,AAPLUSTRAD,AA Plus Tradelink Limited,BSE only,BSE Equity,,M,Active
26,INE124401014,Y,AARADHYA,,,Aaradhya Disposal Industries Limited,NSE only,NSE SME (Emerge),SM,,
27,INE056J01015,Y,,532024,AARCON,AARCON FACILITIES LIMITED,BSE only,BSE Equity,,P,Active
28,INE198H01019,Y,AAREYDRUGS,524412,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE+BSE,NSE Mainboard,BE,T,Active
29,INE750R01016,Y,AARNAV,539562,AARNAV,Aarnav Fashions Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
30,INE721Z01010,Y,AARON,,,Aaron Industries Limited,NSE only,NSE Mainboard,EQ,,
31,INE512R01010,Y,,542377,AARSHYAM,Aar Shyam India Investment Company Limited,BSE only,BSE Equity,,XT,Active
32,INE01C001026,Y,AARTECH,542580,AARTECH,Aartech Solonics Limited,NSE+BSE,NSE Mainboard,BE,T,Active
33,INE767A01016,Y,AARTIDRUGS,524348,AARTIDRUGS,Aarti Drugs Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
34,INE769A01020,Y,AARTIIND,524208,AARTIIND,Aarti Industries Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
35,INE0LRU01027,Y,AARTIPHARM,543748,AARTIPHARM,Aarti Pharmalabs Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
36,INE09EO01013,Y,AARTISURF,543210,AARTISURF,Aarti Surfactants Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
37,INE754X01016,Y,AARVI,544850,AARVI,Aarvi Encon Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
38,INE0EAX01014,Y,,543346,AASHKA,Aashka Hospitals Limited,BSE only,BSE Equity,,M,Active
39,INE819K01014,Y,,511764,AASTAFIN,Aastamangalam Finance Limited,BSE only,BSE Equity,,X,Active
40,INE2FMX01012,Y,AASTHA,544808,AASTHA,Aastha Spintex Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
41,INE0OB201016,Y,AATMAJ,,,Aatmaj Healthcare Limited,NSE only,NSE SME (Emerge),SM,,
42,INE216P01012,Y,AAVAS,541988,AAVAS,Aavas Financiers Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
43,INE430R01023,Y,,539528,AAYUSH,AAYUSH WELLNESS LIMITED,BSE only,BSE Equity,,X,Active
44,INE777X01017,Y,,540718,AAYUSHBULL,AAYUSH ART AND BULLION LIMITED,BSE only,BSE Equity,,M,Active
45,INE421A01028,Y,ABAN,523204,ABAN,Aban Offshore Limited,NSE+BSE,NSE Mainboard,BE,T,Active
46,INE365O01028,Y,ABANSENT,512165,ABANSENT,Abans Enterprises Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
47,INE454E01013,Y,,531658,ABATEAS,ABATE AS INDUSTRIES LIMITED,BSE only,BSE Equity,,X,Active
48,INE117A01022,Y,ABB,500002,ABB,ABB India Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
49,INE358A01014,Y,ABBOTINDIA,500488,ABBOTINDIA,Abbott India Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
50,INE674K01013,Y,ABCAPITAL,540691,ABCAPITAL,Aditya Birla Capital Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
51,INE125D01011,Y,,520123,ABCINDQ,ABC India Ltd.,BSE only,BSE Equity,,X,Active
52,INE08PH01015,Y,ABCOTS,544522,ABCOTS,A B Cotspin India Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
53,INE552Z01027,Y,ABDL,544203,ABDL,Allied Blenders and Distillers Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
54,INE647O01011,Y,ABFRL,535755,ABFRL,Aditya Birla Fashion and Retail Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
55,INE0UYG01015,Y,ABHAPOWER,,,Abha Power and Steel Limited,NSE only,NSE SME (Emerge),SM,,
56,INE516F01016,Y,,532057,ABHICAP,Abhinav Capital Services Limited,BSE only,BSE Equity,,X,Active
57,INE723C01015,Y,,538935,ABHIFIN,Abhishek Finlease limited,BSE only,BSE Equity,,X,Active
58,INE281P01016,Y,,539544,ABHIINFRA,Abhishek Infraventures Limited,BSE only,BSE Equity,,X,Active
59,INE00YB01025,Y,ABINFRA,544281,ABINFRA,A B Infrabuild Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
60,INE195I01013,Y,,511756,ABIRAFN,Abirami Financial Services (India),BSE only,BSE Equity,,Z,Active
61,INE14LE01019,Y,ABLBL,544403,ABLBL,Aditya Birla Lifestyle Brands Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
62,INE251C01025,Y,ABMINTLLTD,,,ABM International Limited,NSE only,NSE Mainboard,EQ,,
63,INE850B01026,Y,ABMKNO,531161,ABMKNO,ABM Knowledgeware Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
64,INE055A01016,Y,ABREL,500040,ABREL,Aditya Birla Real Estate Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
65,INE0ZDY01011,Y,,544422,ABRFL,Abram Food Limited,BSE only,BSE Equity,,M,Active
66,INE15MX01014,Y,,544500,ABRIL,ABRIL PAPER TECH LIMITED,BSE only,BSE Equity,,M,Active
67,INE404A01024,Y,ABSLAMC,543374,ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
68,INE0QRV01016,Y,ABSMARINE,,,ABS Marine Services Limited,NSE only,NSE SME (Emerge),ST,,
69,INE485K01022,Y,,530881,ABVL,Arunjyoti Bio Ventures Limited,BSE only,BSE Equity,,X,Active
70,INE012A01025,Y,ACC,500410,ACC,ACC Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
71,INE578B01015,Y,,531533,ACCEDERE,ACCEDERE LIMITED,BSE only,BSE Equity,,X,Active
72,INE258C01038,Y,,517494,ACCEL,ACCEL LIMITED,BSE only,BSE Equity,,X,Active
73,INE0POP01017,Y,,543938,ACCELERATE,ACCELERATEBS INDIA LIMITED,BSE only,BSE Equity,,M,Active
74,INE793A01012,Y,ACCELYA,532268,ACCELYA,Accelya Solutions India Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
75,INE0Q5D01013,Y,ACCENTMIC,,,Accent Microcell Limited,NSE only,NSE SME (Emerge),SM,,
76,INE113X01015,Y,ACCORD,,,Accord Synergy Limited,NSE only,NSE SME (Emerge),ST,,
77,INE132201018,Y,,544710,ACCORDTS,ACCORD TRANSFORMER & SWITCHGEAR LIMITED,BSE only,BSE Equity,,M,Active
78,INE0T8T01010,Y,ACCPL,,,Accretion Pharmaceuticals Limited,NSE only,NSE SME (Emerge),ST,,
79,INE648Z01023,Y,ACCURACY,544598,ACCURACY,Accuracy Shipping Limited,NSE+BSE,NSE Mainboard,BE,T,Active
80,INE731H01025,Y,ACE,532762,ACE,Action Construction Equipment Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
81,INE0S9X01011,Y,,544431,ACEALPHA,Ace Alpha Tech Limited,BSE only,BSE Equity,,M,Active
82,INE035401020,Y,,530669,ACEENGITEC,ACE ENGITECH LIMITED,BSE only,BSE Equity,,XT,Active
83,INE543V01017,Y,ACEINTEG,,,Ace Integrated Solutions Limited,NSE only,NSE Mainboard,EQ,,
84,INE023R01018,Y,,539661,ACEMEN,ACE MEN ENGG WORKS LIMITED,BSE only,BSE Equity,,X,Active
85,IN9849B01026,Y,,890230,ACESEPP,Ace Software Exports ltd.,BSE only,BSE Equity,,X,Active
86,INE849B01010,Y,,531525,ACESOFT,Ace Software Exports ltd.,BSE only,BSE Equity,,X,Active
87,INE1J6M01010,Y,ACETEC,,,Acetech E-Commerce Limited,NSE only,NSE SME (Emerge),SM,,
88,INE758W01019,Y,,541133,ACFL,APEX CAPITAL AND FINANCE LIMITED,BSE only,BSE Equity,,XT,Active
89,INE218P01018,Y,,536737,ACFSL,Amrapali Capital and Finance Services Limited,BSE only,BSE Equity,,MT,Active
90,INE451C01013,Y,,505036,ACGL,Automobile Corpn. of Goa Ltd.,BSE only,BSE Equity,,B,Active
91,INE0K1401020,Y,,543499,ACHYUT,Achyut Healthcare Limited,BSE only,BSE Equity,,T,Active
92,INE128X01021,Y,ACI,543657,ACI,Archean Chemical Industries Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
93,INE167B01025,Y,,517356,ACIIN,ACI Infocom Ltd.,BSE only,BSE Equity,,X,Active
94,INE326C01017,Y,,530043,ACKNIT,Acknit Industries Ltd,BSE only,BSE Equity,,X,Active
95,INE666E01020,Y,ACL,532141,ACL,Andhra Cements Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
96,INE0T3401029,Y,,544213,ACLD,AELEA COMMODITIES LIMITED,BSE only,BSE Equity,,M,Active
97,INE636B01011,Y,,539391,ACME,Acme Resources Limited,BSE only,BSE Equity,,Z,Active
98,INE622W01025,Y,ACMESOLAR,544283,ACMESOLAR,Acme Solar Holdings Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
99,INE427V01013,Y,,540146,ACML,ADITYA CONSUMER MARKETING LIMITED,BSE only,BSE Equity,,M,Active
100,INE950D01012,Y,,513149,ACROW,Acrow (India) Ltd.,BSE only,BSE Equity,,X,Active
101,INE366C01021,Y,ACSTECH,530745,ACSTECH,ACS Technologies Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
102,INE380Z01015,Y,,541144,ACTIVE,Active Clothing Co  Limited,BSE only,BSE Equity,,B,Active
103,INE0KLO01025,Y,ACTIVEINFR,,,Active Infrastructures Limited,NSE only,NSE SME (Emerge),SM,,
104,INE00FF01025,Y,ACUTAAS,543349,ACUTAAS,Acutaas Chemicals Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
105,INE931S01010,Y,ADANIENSOL,539254,ADANIENSOL,Adani Energy Solutions Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
106,INE423A01024,Y,ADANIENT,512599,ADANIENT,Adani Enterprises Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
107,INE364U01010,Y,ADANIGREEN,541450,ADANIGREEN,Adani Green Energy Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
108,INE742F01042,Y,ADANIPORTS,532921,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
109,INE814H01029,Y,ADANIPOWER,533096,ADANIPOWER,Adani Power Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
110,INE627D01016,Y,,526711,ADARSHPL,Adarsh Plant Project Ltd.,BSE only,BSE Equity,,X,Active
111,INE833A01016,Y,,523411,ADCINDIA,ADC India Communications Limited,BSE only,BSE Equity,,XT,Active
112,INE805Q01028,Y,,539506,ADCON,Adcon Capital Services Limited,BSE only,BSE Equity,,XT,Active
113,INE0W1601012,Y,,544435,ADCOUNTY,ADCOUNTY MEDIA INDIA LIMITED,BSE only,BSE Equity,,M,Active
114,INE0RDH01021,Y,ADDICTIVE,,,Addictive Learning Technology Limited,NSE only,NSE SME (Emerge),SM,,
115,INE757C01021,Y,,507852,ADDIND,Addi Industries Ltd.,BSE only,BSE Equity,,X,Active
116,INE0H8J01015,Y,,543309,ADESHWAR,Adeshwar Meditex Limited,BSE only,BSE Equity,,M,Active
117,INE982B01027,Y,ADFFOODS,519183,ADFFOODS,ADF Foods Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
118,INE578L01014,Y,,539189,ADHBHUTIN,Adhbhut Infrastructure Ltd.,BSE only,BSE Equity,,X,Active
119,INE586D01014,Y,,531286,ADHHATA,ADHATA GLOBAL LIMITED,BSE only,BSE Equity,,X,Active
120,INE067R01015,Y,,780018,ADHIRAJ,Adhiraj Distributors Limited,BSE only,BSE Equity,,IP,Active
121,INE207C01019,Y,,514113,ADINATH,Adinath Textiles Ltd.,BSE only,BSE Equity,,X,Active
122,INE0CWK01019,Y,,543377,ADISHAKTI,Adishakti Loha and Ispat Limited,BSE only,BSE Equity,,M,Active
123,INE20PL01012,Y,ADISOFT,,,Adisoft Technologies Limited,NSE only,NSE SME (Emerge),SM,,
124,INE570B01012,Y,,513513,ADITYA,Aditya Ispat Ltd.,BSE only,BSE Equity,,X,Active
125,INE122D01026,Y,,521141,ADITYASP,Aditya Spinners Ltd.,BSE only,BSE Equity,,X,Active
126,INE0CHO01012,Y,ADL,543231,ADL,Archidply Decor Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
127,INE276T01018,Y,,524604,ADLINE,ADLINE CHEM LAB LIMITED,BSE only,BSE Equity,,P,Active
128,INE0XLO01010,Y,,544669,ADMACH,ADMACH SYSTEMS LIMITED,BSE only,BSE Equity,,MT,Active
129,INE556D01017,Y,,511359,ADMANUM,AD-Manum Finance Ltd,BSE only,BSE Equity,,X,Active
130,INE1SME01017,Y,,544809,ADON,ADON AGRO COMMODITIES LIMITED,BSE only,BSE Equity,,M,Active
131,INE045A01017,Y,ADOR,517041,ADOR,Ador Welding Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
132,INE737B01033,Y,ADROITINFO,532172,ADROITINFO,Adroit Infotech Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
133,INE102I01027,Y,ADSL,532875,ADSL,Allied Digital Services Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
134,INE257C01014,Y,,544185,ADTECH,ADTECH SYSTEMS LIMITED,BSE only,BSE Equity,,X,Active
135,INE0ALI01010,Y,ADVAIT,543230,ADVAIT,Advait Energy Transitions Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
136,INE1B0W01010,Y,ADVANCE,544562,ADVANCE,Advance Agrolife Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
137,INE13ZJ01010,Y,,544843,ADVANCETL,ADVANCE TECHNOFORGE LIMITED,BSE only,BSE Equity,,MT,Active
138,INE199C01026,Y,ADVANIHOTR,523269,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
139,INE28GN01010,Y,ADVENTHTL,544446,ADVENTHTL,Advent Hotels International Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
140,INE837H01020,Y,ADVENZYMES,540025,ADVENZYMES,Advanced Enzyme Technologies Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
141,INE178T01024,Y,,539773,ADVIKCA,Advik Capital Limited,BSE only,BSE Equity,,X,Active
142,INE900E01015,Y,,521048,ADVLIFE,Advance Lifestyles Ltd.,BSE only,BSE Equity,,X,Active
143,INE875S01019,Y,,526331,ADVMULT,Advance Multitech Ltd.,BSE only,BSE Equity,,XT,Active
144,INE334N01018,Y,,506947,ADVPETR-B,Advance Petrochemicals Ltd.,BSE only,BSE Equity,,X,Active
145,INE0WR901013,Y,,544858,AEGEUS,AEGEUS TECHNOLOGIES LIMITED,BSE only,BSE Equity,,MT,Active
146,INE208C01025,Y,AEGISLOG,500003,AEGISLOG,Aegis Logistics Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
147,INE0INX01018,Y,AEGISVOPAK,544407,AEGISVOPAK,Aegis Vopak Terminals Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
148,INE072B01027,Y,,526443,AEIM,Artificial Electronics Intelligent Material Limited,BSE only,BSE Equity,,X,Active
149,INE829P01020,Y,,539196,AEL,Amba Enterprises Ltd.,BSE only,BSE Equity,,X,Active
150,INE994D01010,Y,,524594,AEONXDIGI,Aeonx Digital Technology Limited,BSE only,BSE Equity,,X,Active
151,INE757T01025,Y,AEPL,542670,AEPL,Artemis Electricals and Projects Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
152,INE947N01017,Y,AEQUS,544634,AEQUS,Aequs Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
153,INE065D01027,Y,AEROENTER,511076,AEROENTER,Aeroflex Enterprises Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
154,INE024001021,Y,AEROFLEX,543972,AEROFLEX,Aeroflex Industries Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
155,INE0WL801011,Y,AERON,,,Aeron Composite Limited,NSE only,NSE SME (Emerge),SM,,
156,INE035801013,Y,AERONEU,543743,AERONEU,Aeroflex Neu Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
157,INE05TO01019,Y,AEROPLANE,544743,AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
158,INE175N01023,Y,,534733,AERPACE,Aerpace Industries Limited,BSE only,BSE Equity,,XT,Active
159,INE0TSF01011,Y,AESTHETIK,,,Aesthetik Engineers Limited,NSE only,NSE SME (Emerge),SM,,
160,INE0BWX01014,Y,AETHER,543534,AETHER,Aether Industries Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
161,INE0OXY01013,Y,,544224,AFCOM,Afcom Holdings Limited,BSE only,BSE Equity,,M,Active
162,INE101I01011,Y,AFCONS,544280,AFCONS,Afcons Infrastructure Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
163,INE663P01015,Y,,538351,AFEL,A.F. Enterprises Limited,BSE only,BSE Equity,,Z,Active
164,INE00WC01027,Y,AFFLE,542752,AFFLE,Affle 3i Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
165,INE692Z01013,Y,AFFORDABLE,541402,AFFORDABLE,Affordable Robotic & Automation Limited,NSE+BSE,NSE Mainboard,BE,T,Active
166,INE916Y01027,Y,AFIL,544200,AFIL,Akme Fintrade (India) Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
167,INE18HI01019,Y,,544767,AFLTD,Autofurnish Limited,BSE only,BSE Equity,,M,Active
168,INE00ZE01026,Y,AFSL,543712,AFSL,Abans Financial Services Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
169,INE204E01012,Y,AGARIND,531921,AGARIND,Agarwal Industrial Corporation Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
170,INE510B01018,Y,,530765,AGARWAL,AGARWAL FORTUNE INDIA LIMITED,BSE only,BSE Equity,,X,Active
171,INE943P01029,Y,AGARWALEYE,544350,AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
172,INE0MLA01012,Y,AGARWALFT,,,Agarwal Float Glass India Limited,NSE only,NSE SME (Emerge),SM,,
173,INE0P8X01016,Y,AGARWALTUF,,,Agarwal Toughened Glass India Limited,NSE only,NSE SME (Emerge),SM,,
174,INE415A01038,Y,AGI,500187,AGI,AGI Greenpac Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
175,INE976R01033,Y,AGIIL,539042,AGIIL,Agi Infra Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
176,INE112C01011,Y,,516020,AGIOPAPER,Agio Paper & Industries Limited,BSE only,BSE Equity,,X,Active
177,INE1YPB01014,Y,AGL,544602,AGL,Allcargo Global Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
178,INE0LF301013,Y,AGNI,,,Agni Green Power Limited,NSE only,NSE SME (Emerge),SM,,
179,INE05FR01029,Y,,542579,AGOL,Ashapuri Gold Ornament Limited,BSE only,BSE Equity,,B,Active
180,INE679E01015,Y,,539546,AGRIBIO,AGRIBIO SPIRITS LIMITED,BSE only,BSE Equity,,X,Active
181,INE449G01018,Y,AGRITECH,537292,AGRITECH,Agri-Tech (India) Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
182,INE740V01019,Y,AGROPHOS,,,Agro Phos India Limited,NSE only,NSE Mainboard,EQ,,
183,INE583L01014,Y,AGSTRA,543451,AGSTRA,AGS Transact Technologies Limited,NSE+BSE,NSE Mainboard,BZ,Z,Active
184,INE0O6N01012,Y,AGUL,,,A G Universal Limited,NSE only,NSE SME (Emerge),SM,,
185,INE321D01016,Y,,506579,AGVENTURES,AG VENTURES LIMITED,BSE only,BSE Equity,,X,Active
186,INE0NEV01011,Y,,543941,AHASOLAR,AHASOLAR TECHNOLOGIES LIMITED,BSE only,BSE Equity,,M,Active
187,INE0Y8W01025,Y,AHCL,544497,AHCL,Anlon Healthcare Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
188,INE136T01014,Y,AHIMSA,,,Ahimsa Industries Limited,NSE only,NSE SME (Emerge),ST,,
189,INE00PV01013,Y,AHLADA,,,Ahlada Engineers Limited,NSE only,NSE Mainboard,EQ,,
190,INE926K01017,Y,AHLEAST,533227,AHLEAST,Asian Hotels (East) Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
191,INE758C01029,Y,AHLUCONT,532811,AHLUCONT,Ahluwalia Contracts (India) Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
192,INE915K01010,Y,AHLWEST,533221,AHLWEST,Asian Hotels (West) Limited,NSE+BSE,NSE Mainboard,BE,T,Active
193,INE868C01018,Y,,522273,AHMDSTE,Ahmedabad Steelcraft Ltd.,BSE only,BSE Equity,,X,Active
194,INE212H01026,Y,AIAENG,532683,AIAENG,AIA Engineering Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
195,INE768E01024,Y,,532806,AICHAMP,AI CHAMPDANY INDUSTRIES LIMITED,BSE only,BSE Equity,,XT,Active
196,INE342U01016,Y,,542524,AIHL,AMBASSADOR INTRA HOLDINGS LIMITED,BSE only,BSE Equity,,X,Active
197,INE206F01022,Y,AIIL,539177,AIIL,Authum Investment & Infrastructure Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
198,INE0QFT01015,Y,,544072,AIKPIPES,AIK Pipes and Polymers Limited,BSE only,BSE Equity,,M,Active
199,INE0CAJ01017,Y,AILIMITED,,,Abhishek Integrations Limited,NSE only,NSE SME (Emerge),SM,,
200,INE008B01013,Y,,524288,AIMCOPEST,Aimco Pesticides Ltd.,BSE only,BSE Equity,,X,Active
201,INE123D01024,Y,,534064,AIML,Alliance Integrated Metaliks Limited,BSE only,BSE Equity,,XT,Active
202,INE0RUV01018,Y,AIMTRON,,,Aimtron Electronics Limited,NSE only,NSE SME (Emerge),SM,,
203,INE645W01026,Y,AIRAN,543811,AIRAN,Airan Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
204,INE0XBS01012,Y,,544516,AIRFLOA,AIRFLOA RAIL TECHNOLOGY LIMITED,BSE only,BSE Equity,,M,Active
205,INE801L01010,Y,AIROLAM,,,Airo Lam limited,NSE only,NSE Mainboard,EQ,,
206,INE635Y01015,Y,AISL,,,ANI Integrated Services Limited,NSE only,NSE SME (Emerge),SM,,
207,INE031B01049,Y,AJANTPHARM,532331,AJANTPHARM,Ajanta Pharma Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
208,INE601B01023,Y,,519216,AJANTSOY,Ajanta Soya Limited,BSE only,BSE Equity,,X,Active
209,INE274Y01021,Y,AJAXENGG,544356,AJAXENGG,Ajax Engineering Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
210,INE0XRR01010,Y,,544425,AJCJEWEL,AJC Jewel Manufacturers Limited,BSE only,BSE Equity,,M,Active
211,INE759C01027,Y,,511692,AJCON,Ajcon Global Services Ltd.,BSE only,BSE Equity,,X,Active
212,INE298G01035,Y,AJMERA,513349,AJMERA,Ajmera Realty & Infra India Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
213,INE820Y01021,Y,AJOONI,,,Ajooni Biotech Limited,NSE only,NSE Mainboard,EQ,,
214,INE863E01015,Y,,526628,AJWAFUN,Ajwa Fun World & Resorts Ltd,BSE only,BSE Equity,,P,Active
215,INE0PCY01014,Y,AKANKSHA,,,Akanksha Power and Infrastructure Limited,NSE only,NSE SME (Emerge),SM,,
216,INE737W01013,Y,AKASH,,,Akash Infra-Projects Limited,NSE only,NSE Mainboard,EQ,,
217,INE701G01012,Y,AKCAPIT,530499,AKCAPIT,AK Capital Services Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
218,INE00Y801016,Y,AKG,,,Akg Exim Limited,NSE only,NSE Mainboard,EQ,,
219,INE642Z01026,Y,AKI,542020,AKI,AKI India Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
220,INE0PMR01017,Y,AKIKO,,,Akiko Global Services Limited,NSE only,NSE SME (Emerge),ST,,
221,INE256Z01025,Y,AKSHAR,541303,AKSHAR,Akshar Spintex Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
222,INE542B01011,Y,AKSHARCHEM,524598,AKSHARCHEM,AksharChem India Limited,NSE+BSE,NSE Mainboard,BE,T,Active
223,INE523B01011,Y,AKSHOPTFBR,532351,AKSHOPTFBR,Aksh Optifibre Limited,NSE+BSE,NSE Mainboard,BE,T,Active
224,INE09XN01023,Y,AKUMS,544222,AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
225,INE914E01040,Y,ALANKIT,531082,ALANKIT,Alankit Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
